step,mean_response_len_tokens,fve_nrm,kl_loss
0,143.9,0.6892452836036682,0.0
1,135.3,0.7055950164794922,0.21467211842536926
2,122.0,0.6944661736488342,0.5666259527206421
3,96.7,0.7271068096160889,1.0257436037063599
4,77.4,0.5792344212532043,1.506213903427124
5,69.1,0.6805983185768127,1.8925187587738037
6,58.7,0.569875180721283,2.272085666656494
7,49.9,0.6305502653121948,2.8620412349700928
8,44.1,0.46966126561164856,3.272230625152588
9,44.9,0.5730001926422119,3.5451955795288086
10,42.1,0.5354252457618713,3.8959360122680664
11,41.2,0.5458944439888,4.124517917633057
12,39.5,0.5308452844619751,4.454973220825195
13,37.7,0.5099384188652039,4.753082275390625
14,36.7,0.4307427704334259,5.000799179077148
15,35.2,0.41613519191741943,5.063817977905273
16,35.9,0.42731431126594543,5.05580997467041
17,36.2,0.5664799809455872,5.35795259475708
18,36.7,0.5152111649513245,5.032532691955566
19,35.6,0.5061390995979309,5.026887893676758
20,35.8,0.5730468034744263,5.272116184234619
21,36.9,0.47018125653266907,5.104930877685547
22,35.8,0.5059010982513428,4.976600646972656
23,36.3,0.43934041261672974,5.001495361328125
24,36.6,0.586568295955658,4.966076850891113
25,37.0,0.450971394777298,4.8936333656311035
26,37.4,0.4393322169780731,4.8574748039245605
27,37.6,0.5864691734313965,4.881068229675293
28,37.2,0.5330354571342468,5.066736221313477
29,37.7,0.45163512229919434,4.871557712554932
30,38.6,0.5058915019035339,4.968023300170898
31,36.6,0.5372114777565002,5.151030540466309
32,36.2,0.6206409335136414,5.177827835083008
33,35.1,0.5995997786521912,5.264529228210449
34,34.5,0.5777016282081604,5.549525260925293
