trait,strength,n,appearance_rate,mean_rank,mean_norm_rank,mean_bullets,mean_cos_to_vhat,cjk_rate
corrigibility,0.0,16,0.0000,nan,nan,10.00,0.0448,0.1250
corrigibility,0.5,16,0.0000,nan,nan,10.00,0.4787,0.0625
corrigibility,1.0,16,0.0000,nan,nan,10.00,0.7228,0.0625
corrigibility,2.0,16,0.0000,nan,nan,10.06,0.8985,0.1875
corrigibility,4.0,16,0.0000,nan,nan,10.38,0.9708,0.3750
corrigibility,8.0,16,0.0000,nan,nan,9.81,0.9924,0.2500
corrigibility,16.0,16,0.0000,nan,nan,3.50,0.9981,0.0000
refusal,0.0,16,0.0000,nan,nan,10.00,0.0126,0.1250
refusal,0.5,16,0.0000,nan,nan,10.00,0.4561,0.1250
refusal,1.0,16,0.0000,nan,nan,10.00,0.7115,0.1875
refusal,2.0,16,0.0000,nan,nan,10.00,0.8956,0.2500
refusal,4.0,16,0.0000,nan,nan,10.19,0.9704,0.1250
refusal,8.0,16,0.0000,nan,nan,10.88,0.9923,0.0625
refusal,16.0,16,0.0000,nan,nan,9.94,0.9981,0.2500
sycophancy,0.0,16,0.0000,nan,nan,10.00,0.0494,0.1250
sycophancy,0.5,16,0.0000,nan,nan,10.00,0.4819,0.1250
sycophancy,1.0,16,0.2500,3.0000,0.2222,10.00,0.7244,0.0625
sycophancy,2.0,16,0.3750,3.8333,0.3148,10.00,0.8989,0.0625
sycophancy,4.0,16,0.4375,4.5714,0.3968,8.06,0.9709,0.1875
sycophancy,8.0,16,0.0625,7.0000,0.6667,9.06,0.9924,0.0625
sycophancy,16.0,16,0.0625,7.0000,0.6667,10.06,0.9981,0.0625
yellow,0.0,16,0.0000,nan,nan,10.00,0.0477,0.1250
yellow,0.5,16,0.0000,nan,nan,10.00,0.4807,0.0625
yellow,1.0,16,0.0000,nan,nan,10.00,0.7238,0.0625
yellow,2.0,16,0.0625,3.0000,0.2222,10.00,0.8988,0.1875
yellow,4.0,16,0.0000,nan,nan,10.00,0.9709,0.7500
yellow,8.0,16,0.0000,nan,nan,10.06,0.9924,1.0000
yellow,16.0,16,0.0000,nan,nan,10.06,0.9981,1.0000
