length_lines,fve,n_samples_at_full
1,0.572617,0
2,0.629913,0
3,0.660924,0
4,0.669742,0
5,0.679841,0
6,0.685159,0
7,0.691224,0
8,0.691286,0
9,0.692139,0
10,0.694249,0
11,0.695019,0
12,0.694884,15
13,0.695819,45
14,0.695658,70
15,0.694656,89
16,0.694423,97
17,0.693762,100
18,0.692855,104
19,0.692780,107
20,0.692373,109
21,0.692198,112
22,0.691688,113
23,0.691162,115
24,0.690854,117
25,0.690354,118
26,0.690698,119
27,0.690558,119
28,0.690435,119
29,0.690455,119
30,0.690192,120
31,0.690387,120
32,0.689995,123
33,0.690121,124
34,0.690253,127
35,0.690215,128
