trait,strength,n,appearance_rate,mean_rank,mean_norm_rank,mean_bullets,cjk_rate
sadness,0,24,0.0000,nan,nan,10.12,0.1250
sadness,1,24,0.0000,nan,nan,10.17,0.2917
sadness,2,24,0.0000,nan,nan,10.08,0.1667
sadness,3,24,0.0000,nan,nan,10.04,0.2500
sadness,4,24,0.0000,nan,nan,10.12,0.0833
sadness,5,24,0.0000,nan,nan,10.12,0.2500
sycophancy,0,24,0.0000,nan,nan,10.12,0.1250
sycophancy,1,24,0.0000,nan,nan,10.17,0.1667
sycophancy,2,24,0.0000,nan,nan,10.08,0.2500
sycophancy,3,24,0.0000,nan,nan,10.08,0.2083
sycophancy,4,24,0.0000,nan,nan,10.08,0.1250
sycophancy,5,24,0.0000,nan,nan,10.04,0.1667
tofu,0,24,0.0000,nan,nan,10.12,0.1250
tofu,1,24,0.0000,nan,nan,10.08,0.2500
tofu,2,24,0.0000,nan,nan,10.12,0.1667
tofu,3,24,0.0000,nan,nan,10.17,0.2083
tofu,4,24,0.0000,nan,nan,10.04,0.2083
tofu,5,24,0.0000,nan,nan,10.04,0.0417
yellow,0,24,0.0000,nan,nan,10.12,0.1250
yellow,1,24,0.0000,nan,nan,10.08,0.1250
yellow,2,24,0.0000,nan,nan,10.12,0.2500
yellow,3,24,0.0000,nan,nan,10.25,0.2500
yellow,4,24,0.0000,nan,nan,10.08,0.1667
yellow,5,24,0.0000,nan,nan,10.12,0.1250
